policyno,plcydate,clm_freq5,clm_amt5,clm_amt,kidsdriv,travtime,car_use,bluebook,retained,npolicy,car_type,red_car,mvr_pts,clm_flag,age,homekids,yoj,income,gender,parent1,jobclass,max_educ,home_val,homevalue,samehome,yearsinhome,area,in_yy,hadclaim,commercial,cartype_panel,cartype_sports,cartype_pickup,cartype_suv,cartype_sedan,cartype_van,redcar,revolked,male,married,singleparent,job_bluecollar,urban,predictedclaim
160,1997-11-08,2,4461,0,0,14,Private,14230,11,1,Sedan,yes,3,No,60,0,11,67349,M,No,Professional,PhD,0,0,18,18,Urban,FALSE,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,.12156095
24836,1998-07-29,0,0,0,0,22,Commercial,14940,1,1,Sedan,yes,0,No,43,0,11,91449,M,No,Blue Collar,High School,257252,257252,1,1,Urban,TRUE,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,.25822499
28046,1995-10-28,0,0,0,0,26,Private,21970,1,1,Van,yes,2,No,48,0,11,52881,M,No,Manager,Bachelors,0,0,10,10,Urban,TRUE,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,.26361635
28960,1994-06-11,2,38690,0,0,5,Private,4010,4,1,SUV,no,3,No,35,1,10,16039,F,No,Clerical,High School,124191,124191,10,10,Urban,FALSE,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,.20406233
40933,1993-09-20,0,0,0,0,32,Private,15440,7,1,Sedan,yes,0,No,51,0,14,,M,No,Blue Collar,<High School,306251,306251,6,6,Urban,FALSE,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,.055839609
55277,1997-09-08,2,19217,0,0,36,Private,18000,1,1,SUV,no,3,No,50,0,NA,114986,F,No,Doctor,PhD,243925,243925,17,17,Urban,TRUE,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,.31257805
63212,1995-01-18,0,0,2946,0,46,Commercial,17430,1,1,Sports Car,no,0,Yes,34,1,12,125301,F,Yes,Blue Collar,Bachelors,0,0,7,7,Urban,TRUE,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,.68320298
69651,1993-07-11,0,0,0,0,33,Private,8780,1,1,SUV,no,0,No,54,0,NA,18755,F,No,Blue Collar,<High School,NA,,1,1,Urban,TRUE,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,
88070,1997-08-04,1,3295,6477,1,21,Private,18930,6,1,Sedan,no,2,Yes,40,1,11,50815,M,Yes,Manager,High School,0,0,1,1,Urban,FALSE,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,.33180892
93553,1994-05-06,0,0,0,0,30,Commercial,5900,10,1,SUV,no,0,No,44,2,12,43486,F,Yes,Blue Collar,High School,0,0,10,10,Rural,FALSE,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,.093506254
