v1,two_yr_recidivism,number_of_priors,age_above_fourtyfive,age_below_twentyfive,female,misdemeanor,ethnicity,probability,predicted,recidivism
5068,no,-.68435776,no,no,Male,yes,African_American,.36721933,0,0
5459,no,-.68435776,yes,no,Female,no,African_American,.17936802,0,0
2316,no,-.68435776,no,no,Male,no,African_American,.41522026,0,0
788,no,-.0519493,yes,no,Male,yes,African_American,.32649747,0,0
1649,no,-.47355494,no,no,Male,no,African_American,.45054832,0,0
2996,no,-.68435776,no,no,Female,no,African_American,.3188324,0,0
5430,no,-.26275212,no,no,Male,no,African_American,.48751763,0,0
1569,yes,-.68435776,no,no,Male,yes,African_American,.36588952,0,1
222,yes,-.26275212,no,no,Male,no,African_American,.48751763,0,1
4896,no,-.68435776,no,no,Male,yes,African_American,.35147047,0,0
1874,yes,-.47355494,no,no,Male,no,African_American,.44663948,0,1
2833,no,-.68435776,no,yes,Female,yes,African_American,.47401428,0,0
5711,no,-.68435776,no,no,Male,yes,African_American,.36588952,0,0
1859,no,-.47355494,yes,no,Male,no,African_American,.3128528,0,0
6084,yes,-.26275212,no,no,Male,no,African_American,.49992475,0,1
4099,no,-.26275212,no,no,Male,no,African_American,.49370551,0,0
4820,no,-.26275212,yes,no,Male,yes,African_American,.2895962,0,0
1463,no,-.47355494,no,no,Female,yes,African_American,.30981082,0,0
3476,no,-.47355494,no,no,Male,no,African_American,.45054832,0,0
3895,yes,.15885352,no,no,Female,no,African_American,.49614924,0,1
2239,no,-.47355494,no,no,Male,no,African_American,.44663948,0,0
4165,no,-.68435776,no,no,Male,no,African_American,.41522026,0,0
922,yes,-.47355494,yes,no,Male,no,African_American,.2832337,0,1
878,no,-.26275212,yes,no,Male,yes,African_American,.27036819,0,0
1935,no,-.47355494,no,no,Female,no,African_American,.37682724,0,0
5872,no,-.68435776,no,no,Male,yes,African_American,.36044151,0,0
2496,no,-.0519493,no,no,Male,yes,African_American,.48673356,0,0
4223,no,-.68435776,no,no,Female,yes,African_American,.27092603,0,0
5057,no,-.47355494,no,no,Male,no,African_American,.45054832,0,0
3794,no,.15885352,yes,no,Male,no,African_American,.40772679,0,0
2150,yes,-.0519493,yes,no,Male,yes,African_American,.34004977,0,1
1726,yes,-.26275212,no,no,Male,no,African_American,.49719575,0,1
4474,no,-.68435776,no,no,Male,yes,African_American,.36044151,0,0
1771,yes,-.68435776,no,no,Female,yes,African_American,.27832747,0,1
745,no,-.68435776,yes,no,Female,no,African_American,.20275933,0,0
2862,yes,.58045918,yes,no,Male,yes,African_American,.42506531,0,1
1233,no,-.0519493,yes,no,Male,yes,African_American,.30638412,0,0
4010,yes,-.0519493,yes,no,Male,no,African_American,.35959461,0,1
701,yes,-.0519493,no,no,Male,yes,African_American,.46880352,0,1
2454,yes,-.26275212,no,no,Male,no,African_American,.49992475,0,1
586,yes,-.0519493,no,no,Male,yes,African_American,.46880352,0,1
3525,yes,-.47355494,no,no,Male,no,African_American,.4559094,0,1
5763,no,-.47355494,no,no,Male,yes,African_American,.40509328,0,0
5118,no,-.26275212,no,no,Male,yes,African_American,.42861781,0,0
1466,no,-.68435776,yes,no,Male,no,African_American,.24896234,0,0
4855,no,-.68435776,no,no,Female,yes,African_American,.28823176,0,0
1509,no,-.26275212,no,no,Female,yes,African_American,.34556851,0,0
1517,yes,-.68435776,no,no,Male,no,African_American,.41522026,0,1
1991,no,-.68435776,yes,no,Male,no,African_American,.24896234,0,0
3831,yes,-.68435776,no,no,Male,no,African_American,.41522026,0,1
3114,no,-.68435776,no,no,Female,no,African_American,.33213472,0,0
3705,no,-.26275212,no,no,Male,no,African_American,.49370551,0,0
3681,yes,-.26275212,no,no,Female,no,African_American,.41289917,0,1
3671,no,-.68435776,no,no,Female,no,African_American,.33948693,0,0
1412,yes,-.68435776,no,no,Male,yes,African_American,.35958323,0,1
835,no,-.0519493,no,no,Female,no,African_American,.45543933,0,0
103,no,-.47355494,no,no,Male,yes,African_American,.40616393,0,0
376,no,-.47355494,no,no,Male,yes,African_American,.40616393,0,0
192,no,-.68435776,no,no,Male,yes,African_American,.36721933,0,0
448,yes,-.47355494,no,no,Male,yes,African_American,.40037635,0,1
1948,yes,-.26275212,no,no,Female,yes,African_American,.34556851,0,1
790,no,-.68435776,yes,no,Male,yes,African_American,.22375812,0,0
4622,no,-.0519493,no,no,Male,yes,African_American,.48673356,0,0
5659,no,-.47355494,no,no,Female,no,African_American,.35582343,0,0
562,no,-.68435776,no,no,Female,no,African_American,.34031779,0,0
5440,no,-.68435776,no,no,Female,yes,African_American,.27832747,0,0
4818,no,-.47355494,yes,no,Male,yes,African_American,.25528476,0,0
